symbol,current_ratio,gross_margin,operating_margin,debt_to_equity,price_to_sales,volume,return_1m,return_6m,stochrsi,current_ratio_rank,gross_margin_rank,operating_margin_rank,debt_to_equity_rank,price_to_sales_rank,volume_rank,return_1m_rank,return_6m_rank,stochrsi_rank
A,2.07,0.5338155515370705,0.2092,52.02,6.8279239445939846,1779818.1451612904,0.023255793395771995,0.3040367524381271,99.99999999999999,0.521496653822754,0.5499901009701049,0.742880764284402,0.528558373315056,0.30897745571658614,0.7988241778431012,0.5520563171545017,0.47279369352047684,0.7761225792721855
AA,1.64,0.14667241007968987,0.0399,51.97,0.5710249162300531,7208594.226190476,0.35894979840372665,1.0263344431930155,91.36417943690468,0.41279659298316773,0.139576321520491,0.4887929450670586,0.5291295407813571,0.8635265700483091,0.9553555024802498,0.959799925898481,0.8688713708902134,0.44605235156416256
AACG,0.5,0.34498449514707963,0.0,12.12,1.0341915236631438,1491722.9838709678,2.783582123410969,3.447368627439908,97.53986857275281,0.08517542080713851,0.36190853296376957,0.33951864780451957,0.7869545350696824,0.7681159420289855,0.7648355686202462,0.9996294924045943,0.9844260719092482,0.6437539902106831
AAIC,1.32,1.0,1.2289,333.82,-2.642855927467398,373960.75396825396,0.1815718335784069,0.6088561151813336,97.82426034366705,0.31109308456702495,0.8985349435755295,0.9960499724416682,0.08761708933059173,0.9959742351046699,0.4493845305897483,0.8490181548721749,0.710248029225149,0.6588635879974463
AAL,0.67,-0.3192986503633637,-0.6378,,0.7910220060921661,76468260.88709678,0.27315916507060245,0.5730007596509146,100.0,0.11508821740012168,0.045337556919421894,0.10619143854492008,0.0,0.820450885668277,0.9988976667279074,0.9297888106706187,0.6915977696596808,0.8830602255799106
AAMC,7.37,-1.0834263392857142,0.0,0.81,5.699832444744451,8957.746031746032,-0.048780485703672216,-0.07387864213215745,91.78748521614142,0.8702088825795985,0.031280934468422096,0.33951864780451957,0.961731779757825,0.34480676328502413,0.03196766489068528,0.31808077065579843,0.0947894635646991,0.45477761225792723
AAME,1.25,0.08749900109213926,0.0207,30.44,0.5110518958317649,535877.4193548387,1.025862045045698,1.292682887116476,94.91685295433807,0.28827823970797,0.09681251237378737,0.44920080837773285,0.6570710532328079,0.8780193236714976,0.5362851368730479,0.9955539088551315,0.9115554701019035,0.5411789742498404
AAN,2.67,0.5407306544373512,0.1142,39.33,0.33276627657341773,752903.6086956522,0.2613347573833975,,,0.6239099574122896,0.5571174024945555,0.6310857982730113,0.6028101439342015,0.9180756843800322,0.6196950211280544,0.9240459429418303,0.0,0.0
AAOI,2.03,0.2154145817527768,-0.2082,55.75,0.98152560288464,804066.9354838709,-0.21590909090909094,-0.13229372594526734,47.966276851557886,0.5129791117420401,0.21896654127895465,0.16351276869373507,0.5074251770619146,0.7793880837359098,0.6296160205768877,0.10411263430900333,0.06652566814074216,0.118535858693339
AAON,3.73,0.3028834848246335,0.1894,0.46,7.606283350621616,224811.6935483871,-0.0005336301496250417,0.353760405745674,99.99999999999999,0.726728858243764,0.31122549990100973,0.7233143487047584,0.9746401644962303,0.285829307568438,0.3424582031967665,0.46980363097443495,0.5183618534897135,0.7761225792721855
AAP,1.32,0.4437594056234707,0.0791,98.61,1.0686694554881635,984774.5967741936,0.09187252437595839,0.08985165525392858,90.05690531478449,0.31109308456702495,0.47119382300534546,0.5677016351276869,0.33013479552204705,0.7600644122383253,0.6777512401249312,0.7021118932938125,0.24668333012882138,0.42072781442860185
AAPL,1.16,0.38780491950974894,0.2525,169.19,7.142179088225177,148838161.69354838,-0.06584931308030784,0.1125966406217509,36.75376360829633,0.2567430541472318,0.41556127499505047,0.7795333455814808,0.18528672606808316,0.2997181964573269,0.9998162777879845,0.28343831048536494,0.272639876946741,0.0859757395190466
AAT,3.63,0.6591083152583793,0.2589,114.99,6.413007904798338,360482.43253968254,0.2592849514691984,0.43599834334318266,96.56297575075904,0.7212532954775908,0.6489803999208078,0.7858717618960133,0.2880968700022847,0.322061191626409,0.4392798089288995,0.9229344201556132,0.5895020188425303,0.6071504575441583
AAU,9.48,,0.0,4.31,,1779567.5238095238,-0.13560001055399573,-0.27157303089355667,37.22259535446213,0.9040762522814845,0.0,0.33951864780451957,0.8815398674891478,0.0,0.7986404556310858,0.18506854390515007,0.034993270524899055,0.08703979570121302
AAWW,1.06,0.3401182018961632,0.1577,123.62,0.5073675292985173,577365.3225806452,0.0437269169469332,0.05187803977045413,62.63918102303101,0.2197323058203204,0.3535933478519105,0.6889582950578725,0.26753484121544435,0.8786231884057971,0.5559434135586993,0.5967024824008892,0.20015381657373582,0.1745052138752926
AB,,1.0,1.0,,12.01300411115764,478685.0753968254,0.006265094375336622,0.4514933479577661,100.0,0.0,0.8985349435755295,0.9948557780635678,0.0,0.20873590982286636,0.5057872496784861,0.4961096702482401,0.6012305325898866,0.8830602255799106
ABB,1.25,0.3065355475625622,0.072,44.53,2.3302976964873343,2068565.6785714286,0.04094380005797493,0.14722755019627431,95.31568059691112,0.28827823970797,0.31756087903385466,0.5550248024986221,0.5743660041124058,0.5837359098228664,0.8260150652213852,0.5907743608743979,0.3082099596231494,0.5541604596722707
ABBV,0.84,0.6931054056414288,0.3427,665.02,4.167638138572927,8996222.983870968,0.05425215304788722,0.22586213325678983,90.65778905264307,0.15524234435205841,0.6707582656899623,0.8400698144405658,0.03678318482979209,0.42330917874396135,0.9660113907771449,0.6200444609114487,0.39780811382426456,0.4315811874866993
